Date Watched,Netflix_Title,Title,catalog_title,corrected_type,director,country,listed_in,duration,rating,release_year,match_method,match_score,is_technical_asset_title
2025-04-03 19:48:34,Défis Extrêmes: LÎle des défis extrêmes: L'île des défis extrêmes extrêmes extrêmes (Épisode 27),Défis Extrêmes,,TV Show,,,,,,,unmatched,,False
2025-03-30 14:48:01,Paradise Police: Saison 4: Le Jugement éternel (Épisode 10),Paradise Police,Paradise Police,TV Show,Jared Stern,USA,"Animation, Comedy, Adult Animation",3 Seasons,TV-MA,2018.0,exact,,False
2025-03-30 14:25:21,Paradise Police: Saison 4: Une couille dans le passé (Épisode 9),Paradise Police,Paradise Police,TV Show,Jared Stern,USA,"Animation, Comedy, Adult Animation",3 Seasons,TV-MA,2018.0,exact,,False
2025-03-30 14:03:11,Paradise Police: Saison 4: Le roi du Norf (Épisode 8),Paradise Police,Paradise Police,TV Show,Jared Stern,USA,"Animation, Comedy, Adult Animation",3 Seasons,TV-MA,2018.0,exact,,False
2025-03-30 14:01:01,Paradise Police: Saison 4: Bateau ! (Épisode 7),Paradise Police,Paradise Police,TV Show,Jared Stern,USA,"Animation, Comedy, Adult Animation",3 Seasons,TV-MA,2018.0,exact,,False
2025-03-29 23:45:06,Paradise Police: Saison 4: Bateau ! (Épisode 7),Paradise Police,Paradise Police,TV Show,Jared Stern,USA,"Animation, Comedy, Adult Animation",3 Seasons,TV-MA,2018.0,exact,,False
2025-03-29 23:18:53,Paradise Police: Saison 4: La version cul (Épisode 6),Paradise Police,Paradise Police,TV Show,Jared Stern,USA,"Animation, Comedy, Adult Animation",3 Seasons,TV-MA,2018.0,exact,,False
2025-03-29 22:57:30,Paradise Police: Saison 4: L'art de la chiure (Épisode 5),Paradise Police,Paradise Police,TV Show,Jared Stern,USA,"Animation, Comedy, Adult Animation",3 Seasons,TV-MA,2018.0,exact,,False
2025-03-29 22:31:33,Paradise Police: Saison 4: Jamais sans mon jean ! (Épisode 4),Paradise Police,Paradise Police,TV Show,Jared Stern,USA,"Animation, Comedy, Adult Animation",3 Seasons,TV-MA,2018.0,exact,,False
2025-03-29 22:05:59,Paradise Police: Saison 4: Une étoile est nue (Épisode 3),Paradise Police,Paradise Police,TV Show,Jared Stern,USA,"Animation, Comedy, Adult Animation",3 Seasons,TV-MA,2018.0,exact,,False
